ref,PTT,D_DATE,NSATS_DETECTED,NSATS_TRANSMITTED,CNT,LAT,LON,RESIDUAL,TIMESHIFT,SUBMITTED,NSATS_HEALTHY,NBITS,DELETED,V_MASK,KM_FROM_HOME,EST_SPEED
ob02-721-11,96721,7/5/2011,10,8,2,-20.81682014,-70.23724365,5.099999905,-2.299999952,7/9/2011,8,15,,0,6.793,0.73
ob02-721-11,96721,7/5/2011,8,8,2,-20.83267975,-70.23576355,6.099999905,-2.299999952,7/9/2011,8,15,,0,7.61,0.48
ob02-721-11,96721,7/6/2011,8,8,3,-20.83798027,-70.23532867,10.69999981,-1.799999952,7/9/2011,8,15,,0,7.947,0.64
ob02-721-11,96721,7/6/2011,5,5,3,-20.87651062,-70.21058655,5,-2.400000095,7/9/2011,5,15,,0,12.612,1.15
ob02-721-11,96721,7/6/2011,7,7,4,-20.89722061,-70.19119263,17.70000076,-2.299999952,7/13/2011,7,15,,0,15.661,1.07
ob02-721-11,96721,7/6/2011,7,7,1,-20.9489994,-70.16322327,1.299999952,-2.299999952,7/13/2011,7,15,,0,21.852,1.15
ob02-721-11,96721,7/6/2011,7,7,1,-21.01028061,-70.17485809,8.899999619,-2.400000095,7/13/2011,7,15,,0,26.782,0.85
ob02-721-11,96721,7/6/2011,8,8,1,-21.02243996,-70.17714691,7.599999905,-2.400000095,7/13/2011,8,15,,0,27.863,0.18
ob02-721-11,96721,7/6/2011,9,8,2,-21.04188919,-70.16996765,3.5,-2.400000095,7/14/2011,8,15,,0,30.13,0.16
ob02-721-11,96721,7/6/2011,9,8,2,-21.0468998,-70.16870117,9.300000191,-2.400000095,7/15/2011,8,15,,0,30.688,0.12
ob02-721-11,96721,7/6/2011,5,5,7,-21.04693031,-70.16874695,3.799999952,-2.400000095,7/15/2011,5,15,,0,30.689,0
ob02-721-11,96721,7/7/2011,7,7,3,-21.04680061,-70.16860199,8.800000191,-2.400000095,7/15/2011,7,15,,0,30.683,0
ob02-721-11,96721,7/7/2011,6,6,4,-21.04670906,-70.16876221,5.300000191,-2.5,7/15/2011,6,15,,0,30.666,0.03
ob02-721-11,96721,7/8/2011,6,6,1,-21.07069969,-70.19065094,1.600000024,-2.5,7/17/2011,6,15,,0,32.207,0.16
